Timecode List:,00:00:20.145,00:00:24.608,00:01:01.144,00:01:03.647,00:01:05.983,00:01:24.418,00:01:25.961,00:01:27.087,00:01:30.966,00:01:45.397,00:01:50.694,00:01:57.200,00:02:03.415,00:02:05.167,00:02:09.171,00:02:10.422,00:02:11.131,00:02:12.049,00:02:12.883,00:02:14.009,00:02:30.108,00:02:33.820,00:02:39.534,00:02:43.622,00:02:51.171,00:02:54.257,00:02:55.175,00:03:01.640,00:03:11.900,00:03:16.113,00:03:23.286,00:03:24.788,00:03:33.588,00:03:34.673,00:03:35.924,00:03:39.344,00:03:53.150,00:04:08.498,00:04:14.129,00:04:17.716,00:04:26.850,00:04:31.730,00:04:33.690
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,483,00:00:20.145,20.145,483,00:00:20.145,20.145
2,484,00:00:20.145,20.145,590,00:00:24.608,24.608,107,00:00:04.463,4.463
3,591,00:00:24.608,24.608,1466,00:01:01.144,61.144,876,00:00:36.536,36.536
4,1467,00:01:01.144,61.144,1526,00:01:03.647,63.647,60,00:00:02.502,2.502
5,1527,00:01:03.647,63.647,1582,00:01:05.983,65.983,56,00:00:02.336,2.336
6,1583,00:01:05.983,65.983,2024,00:01:24.418,84.418,442,00:00:18.435,18.435
7,2025,00:01:24.418,84.418,2061,00:01:25.961,85.961,37,00:00:01.543,1.543
8,2062,00:01:25.961,85.961,2088,00:01:27.087,87.087,27,00:00:01.126,1.126
9,2089,00:01:27.087,87.087,2181,00:01:30.966,90.966,93,00:00:03.879,3.879
10,2182,00:01:30.966,90.966,2527,00:01:45.397,105.397,346,00:00:14.431,14.431
11,2528,00:01:45.397,105.397,2654,00:01:50.694,110.694,127,00:00:05.297,5.297
12,2655,00:01:50.694,110.694,2810,00:01:57.200,117.200,156,00:00:06.506,6.506
13,2811,00:01:57.200,117.200,2959,00:02:03.415,123.415,149,00:00:06.215,6.215
14,2960,00:02:03.415,123.415,3001,00:02:05.167,125.167,42,00:00:01.752,1.752
15,3002,00:02:05.167,125.167,3097,00:02:09.171,129.171,96,00:00:04.004,4.004
16,3098,00:02:09.171,129.171,3127,00:02:10.422,130.422,30,00:00:01.251,1.251
17,3128,00:02:10.422,130.422,3144,00:02:11.131,131.131,17,00:00:00.709,0.709
18,3145,00:02:11.131,131.131,3166,00:02:12.049,132.049,22,00:00:00.918,0.918
19,3167,00:02:12.049,132.049,3186,00:02:12.883,132.883,20,00:00:00.834,0.834
20,3187,00:02:12.883,132.883,3213,00:02:14.009,134.009,27,00:00:01.126,1.126
21,3214,00:02:14.009,134.009,3599,00:02:30.108,150.108,386,00:00:16.099,16.099
22,3600,00:02:30.108,150.108,3688,00:02:33.820,153.820,89,00:00:03.712,3.712
23,3689,00:02:33.820,153.820,3825,00:02:39.534,159.534,137,00:00:05.714,5.714
24,3826,00:02:39.534,159.534,3923,00:02:43.622,163.622,98,00:00:04.087,4.087
25,3924,00:02:43.622,163.622,4104,00:02:51.171,171.171,181,00:00:07.549,7.549
26,4105,00:02:51.171,171.171,4178,00:02:54.257,174.257,74,00:00:03.086,3.086
27,4179,00:02:54.257,174.257,4200,00:02:55.175,175.175,22,00:00:00.918,0.918
28,4201,00:02:55.175,175.175,4355,00:03:01.640,181.640,155,00:00:06.465,6.465
29,4356,00:03:01.640,181.640,4601,00:03:11.900,191.900,246,00:00:10.260,10.260
30,4602,00:03:11.900,191.900,4702,00:03:16.113,196.113,101,00:00:04.213,4.213
31,4703,00:03:16.113,196.113,4874,00:03:23.286,203.286,172,00:00:07.174,7.174
32,4875,00:03:23.286,203.286,4910,00:03:24.788,204.788,36,00:00:01.501,1.501
33,4911,00:03:24.788,204.788,5121,00:03:33.588,213.588,211,00:00:08.800,8.800
34,5122,00:03:33.588,213.588,5147,00:03:34.673,214.673,26,00:00:01.084,1.084
35,5148,00:03:34.673,214.673,5177,00:03:35.924,215.924,30,00:00:01.251,1.251
36,5178,00:03:35.924,215.924,5259,00:03:39.344,219.344,82,00:00:03.420,3.420
37,5260,00:03:39.344,219.344,5590,00:03:53.150,233.150,331,00:00:13.805,13.805
38,5591,00:03:53.150,233.150,5958,00:04:08.498,248.498,368,00:00:15.349,15.349
39,5959,00:04:08.498,248.498,6093,00:04:14.129,254.129,135,00:00:05.631,5.631
40,6094,00:04:14.129,254.129,6179,00:04:17.716,257.716,86,00:00:03.587,3.587
41,6180,00:04:17.716,257.716,6398,00:04:26.850,266.850,219,00:00:09.134,9.134
42,6399,00:04:26.850,266.850,6515,00:04:31.730,271.730,117,00:00:04.880,4.880
43,6516,00:04:31.730,271.730,6562,00:04:33.690,273.690,47,00:00:01.960,1.960
44,6563,00:04:33.690,273.690,6938,00:04:49.372,289.372,376,00:00:15.682,15.682
